"데이터산업별(1)",2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022
"데이터산업별(1)",응답기업수 (개),전년도 확정치 (억원),당해년도 추정치 (억원),응답기업수 (개),전년도 확정치 (억원),당해년도 추정치 (억원),응답기업수 (개),전년도 확정치 (억원),당해년도 추정치 (억원),응답기업수 (개),전년도 확정치 (억원),당해년도 추정치 (억원),응답기업수 (개),전년도 확정치 (억원),당해년도 추정치 (억원)
"전체",782,678,797,1355,6908,7043,1386,6994,7123,1454,3940,4100,8940,14729,15483
"데이터 처리 및 관리 솔루션 개발·공급업",370,378,428,604,2121,2200,602,1523,1535,636,1409,1480,3010,4633,4872
"데이터 구축 및 컨설팅 서비스업",246,174,204,414,2596,2654,339,1438,1453,358,1773,1834,3002,7921,8385
"데이터 판매 및 제공 서비스업",166,127,165,337,2191,2189,445,4033,4135,460,758,786,2928,2175,2226
