거래목적별(1),2018,2018,2019,2019,2020,2020,2021,2021,2022,2022
거래목적별(1),응답기업수 (개),비중 (%),응답기업수 (개),비중 (%),응답기업수 (개),비중 (%),응답기업수 (개),비중 (%),응답기업수 (개),비중 (%)
전체,91,-,53,-,131,-,146,-,568,-
데이터를 상품화하여 직접적 수익 목적,77,84.6,39,73.6,75,57.3,93,63.7,164,28.9
데이터 서비스의 원천데이터로 활용,42,46.2,25,47.2,66,50.4,79,54.1,287,50.6
비즈니스 전략 수립을 위한 데이터 분석,21,23.1,9,17,29,22.1,23,15.8,240,42.3
마케팅 자료로 활용,13,14.3,12,22.6,50,38.2,30,20.5,233,41.1
데이터 분석 교육 및 솔루션 개발 테스트,7,7.7,5,9.4,3,2.3,13,8.9,15,2.6
데이터 기반 신규 비즈니스 개발,9,9.9,9,17,3,2.3,3,2.1,18,3.2
