투입인력별(1),투입인력별(2),2016,2017
DB수 (개),소계,486,330
합계 (명),평균,2.9,6.5
합계 (명),합계,1426,727
초급 (명),평균,0.2,2.3
초급 (명),합계,84,251
중급 (명),평균,1.3,2.1
중급 (명),합계,573,231
고급 (명),평균,1.7,2.2
고급 (명),합계,729,244
특급 (명),평균,0.1,0
특급 (명),합계,40,1
