데이터서비스별(1),2016,2016,2016,2016,2016,2017,2017,2017,2017,2017
데이터서비스별(1),응답기업수 (개),대기업 (%),중소기업 (%),정부/공공 (%),개인 (%),응답기업수 (개),대기업 (%),중소기업 (%),정부/공공 (%),개인 (%)
전체,32,67,16.9,12.4,3.7,41,27.6,48.3,15.8,8.3
데이터 거래,4,65,15,20,0,14,17.1,49.3,27.9,5.7
정보 제공,24,62.3,18.3,14,5.4,23,31.7,45.7,11.3,11.3
데이터 분석 제공,7,84.3,12.9,2.9,0,4,40,60,0,0
