데이터서비스및거래경험별(1),데이터서비스및거래경험별(2),2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017
데이터서비스및거래경험별(1),데이터서비스및거래경험별(2),응답기업수 (개),개인정보 등 데이터 유통/활용 관련 법제도 개선 (%),개인정보 비식별화 등 처리기술 지원 (%),개인정보 활용에 대한 인식 개선 (%),개인정보를 유통하는 별도의 플랫폼 개발 (%),없음 (%),응답기업수 (개),개인정보 등 데이터 유통/활용 관련 법제도 개선 (%),개인정보 비식별화 등 처리기술 지원 (%),개인정보 활용에 대한 인식 개선 (%),개인정보를 유통하는 별도의 플랫폼 개발 (%),없음 (%)
데이터서비스,소계,459,41.2,29.7,19.8,6,3.3,382,42.9,14.9,22,5.2,15
데이터서비스,데이터 거래,56,44.6,23.2,26.8,1.9,3.5,53,30.2,20.8,30.2,7.5,11.3
데이터서비스,정보 제공,396,39.9,31.1,19.2,6.1,3.8,306,44.4,14.1,20.9,4.9,15.7
데이터서비스,데이터 분석 제공,18,55.6,16.7,11.1,16.7,0,23,52.2,13,17.4,4.3,13.1
거래경험 유뮤,소계,459,40.7,30.5,19.2,6.1,3.5,382,42.9,14.9,22,5.2,15
거래경험 유뮤,거래경험 있음 ,146,42.1,26.9,21.4,7.6,2,110,32.7,25.5,24.5,6.4,10.9
거래경험 유뮤,거래경험 없음,313,40.1,32.2,18.2,5.4,4.1,272,47.1,10.7,21,4.8,16.4
